Data Science and Analytics Minor,,
,,
"Data science is the study of methods for extracting knowledge from data, combining programming, statistical, and communication skills. The Data Science & Analytics minor is intended for students who wish to complement their major field of study with data science skills. Students will learn the foundational data and programming tools, fundamental statistical inference methods, and modern machine learning approaches – with a focus on application in the social and natural sciences. The minor consists of six courses, three of which are foundational and must fall into specific components (data and programming, statistics, applied data science) and the remaining three are electives that must have a strong link to data science. The minor is not exclusive to a single department, but rather recognizes the wide range of data science courses available in SAS and helps students organize their coursework into a focused data science minor.",,
"The minor consists of six courses, three of which are foundational and must fall into specific components (Introductory Data Science & Programming, Math & Statistics, Applied Data Science) and the remaining three are electives that must have a strong link to data science.",,
Curriculum,,
Code,Title,Course Units
Introductory Data Science and Programming,,1
R,,
CRIM 4002,Criminal Justice Data Analytics (Or),
COMM 2550,Foundations in Data Science for Communication,
LING 0700,Data Science for Studying Language and the Mind,
PSCI 1800,Introduction to Data Science,
Python,,
CIS 1050,Computational Data Exploration,
ENGL 1670,Data Science for the Humanities,
PHYS 1100,Foundations of Data Science,
PHYS 2260,Introduction to Computational Physics,
COMM 3180,Stories From Data: Introduction to Programming for Data Journalism,
Math and Statistics,,1
BIOL 2510,Statistics for Biologists,
CRIM 1200,Statistics for the Social Sciences I,
ECON 2300,Statistics for Economists,
ENM 3600,Introduction to Data-driven Modeling,
ENM 3750,Biological Data Science I - Fundamentals of Biostatistics,
ESE 3010,Engineering Probability,
PHYS 3358,Data Analysis for the Natural Sciences I: Fundamentals,
PSCI 1801,Statistical Methods PSCI,
SOCI 2010,Social Statistics,
STAT 1120,Introductory Statistics,
STAT 1020,Introductory Business Statistics,
MATH 3120,Linear Algebra,
STAT 4300,Probability,
Applied Data Science,,1
R,,
BIOL 4511,Biological Data Analysis,
ECON 4330,Econometric Machine Learning Methods and Models,
PSCI 3800,Applied Data Science,
STAT 4420,Introduction to Bayesian Data Analysis,
STAT 4710,Modern Data Mining,
CRIM 4012,Machine Learning for Social Science,
GAFL 5310,Data Science for Public Policy,
STAT 4700,Data Analytics and Statistical Computing,
Python,,
CIS 4190,Applied Machine Learning,
PHYS 3359,Data Analysis for the Natural Sciences II: Machine Learning,
CIS 5450,Big Data Analytics,
ESE 3600,TinyML: Tiny Machine Learning for Embedded Systems,
ESE 2000,"Artificial Intelligence Lab: Data, Systems, and Decisions",
PHYS 2200,Applied Data Science - Deep Learning and Artificial Intelligence,
Electives,,3
ASTR 1250,Astronomical Techniques,
BIOL 4536,Introduction to Computational Biology & Biological Modeling,
COMM 3130,Computational Text Analysis for Communication Research,
ENVS 3700,GIS: Mapping Places & Analyzing Spaces,
CIS 4210,Artificial Intelligence,
CIS 4500,Database and Information Systems,
COGS 4290,"Big Data, Memory and the Human Brain",
LING 2220,Phonetics II: Data Science,
LING 2250,Computer Analysis and Modeling of Biological Signals and Systems,
PHYS 2280,Physical Models of Biological Systems,
SOCI 2220,Health of Populations,
PSCI 3802,Political Polling,
STAT 4240,Text Analytics,
URBS 3300,GIS Applications in Social Science,
ANTH 3307,Intro to Digital Archaeology,
ACCT 2700,Forensic Analytics,
MKTG 2120,Data and Analysis for Marketing Decisions,
STAT 4750,Sample Survey Design,
EESC 3376,Climate and Big Data,
COMM 4190,Talking with AI: Computational and Communication Approaches,
CIMS 2666,Algorithmic Ethics,
CIS 4230,Ethical Algorithm Design,
Total Course Units,,6
