Economics Major,,,,
Code,Description,Prerequisites,Quality,Difficulty
Math courses (Must take 2),,,,
Math 1070,"Covers limits, differential and integral calculus, Taylor polynomials, and probability densities, with applications to social, economic, and information sciences.",,0.9,3.4
Math 1080,"Focuses on multivariate calculus, optimization, and differential equations with applications to economics and social sciences.",Math 1070,2.1,2.7
Math 1400,"Introduces integrals, transcendental functions, infinite series, and first-order differential equations with software use.",,2,3.2
Math 1410,"Covers multivariable calculus, vectors, and vector calculus with applications to the physical sciences.",Math 1400,2,3.2
,,,,
introductory economics courses (Must take both),,,,
Econ 0100,"Provides an introduction to microeconomic analysis, covering consumer choice, firm behavior, market structures, and international trade.",,2.6,2.7
Econ 0200,"Introduces macroeconomic principles such as output, unemployment, inflation, economic growth, and fiscal and monetary policy.",Econ 0100,2.3,2.7
,,,,
intermediate-level courses (Must take all 4),,,,
Econ 2100,"Intermediate microeconomic theory including consumer behavior, production, market structures, and welfare analysis using mathematical tools.","Econ 0100, Econ 0200, Math 1400/Math 1070",2.2,3.1
Econ 2200,Analyzes income determination and growth across countries and over time using macroeconomic models.,"Econ 2100, Math 1400/Math 1070",2.3,3
Econ 2300,"Introduces statistical methods relevant to economic analysis including probability, sampling, estimation, and regression.","Econ 0100, Econ 0200, Math 1400/Math 1070",2.3,2.9
Econ 2310,"Covers econometric techniques including regression analysis, hypothesis testing, and model specification applied to economic data.","Econ 2100, Econ 2300, Math 1400/Math 1070",2.2,3.2
,,,,
Advanced Courses (Choose any 4 from the list),,,,
Econ 4310,"Teaches modern macroeconometric methods including DSGE models, nowcasting, and the impact of macroeconomic shocks.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",N/A,N/A
Econ 4320,"Covers advanced econometric topics used in microeconomic applications, starting from matrix-based review through modern techniques.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",3,3.2
Econ 4330,Advanced seminar course (specific topic varies by semester).,"Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",2.9,3.1
Econ 4410,"Examines government intervention, taxation, and expenditure with a focus on efficiency, equity, and policy design.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",2.7,2.5
Econ 4420,"Applies economic analysis to political institutions and behavior, exploring voting, rent-seeking, and policy outcomes.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",N/A,N/A
Econ 4430,"Analyzes labor markets, wage setting, human capital investment, unemployment, and effects of public policy.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",N/A,N/A
Econ 4440,"Studies economic aspects of legal systems, incentives in litigation, and regulation.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",N/A,N/A
Econ 4450,"Focuses on firm behavior in imperfect competition including pricing, product decisions, mergers, and antitrust issues.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",N/A,N/A
Econ 4460,"Applies microeconomics to healthcare markets, studying demand, insurance, provider behavior, and health policy.","Econ 2100, Math 1400/Math 1070, Math 1410/Math 1080, ",2.7,2.6
